name,careers_url,provider,board_slug,source_type,target_country,scope_policy,industry,sponsorship_history,english_friendly,remote_score,notes
Moonpay,https://jobs.lever.co/moonpay,lever,moonpay,direct_employer,Global,global,Crypto,75,90,80,verified: 25 jobs
Moss,https://moss.jobs.personio.de,personio,moss,direct_employer,Global,global,Fintech,80,85,60,"verified 2026-09-15: API reachable, 0 open postings"
Netlify,https://job-boards.greenhouse.io/netlify,greenhouse,netlify,direct_employer,Global,global,Developer Tools,85,95,90,
Nexthink,https://careers.smartrecruiters.com/nexthink,smartrecruiters,nexthink,direct_employer,Global,global,SaaS,80,85,65,FIX P0-20: smartrecruiters API adapter
NXP Semiconductors,https://nxp.wd3.myworkdayjobs.com/careers,workday,nxp/careers,direct_employer,Global,global,Semiconductors,80,85,55,FIX P0-20: workday API adapter
Ohpen,https://ohpen.jobs.personio.com/?language=en,personio,ohpen,direct_employer,Global,global,Banking SaaS,75,85,55,
Philips,https://philips.wd3.myworkdayjobs.com/jobs-and-careers,workday,philips/jobs-and-careers,direct_employer,Global,global,Engineering,80,80,55,FIX P0-20: workday API adapter
Pleo,https://jobs.ashbyhq.com/pleo/,ashby,pleo,direct_employer,Global,global,Fintech,80,90,75,
Prysmian Group,https://prysmiangroup.wd3.myworkdayjobs.com/Careers,workday,prysmiangroup/Careers,direct_employer,Global,global,Manufacturing,40,70,60,FIX P0-20: workday API adapter
QuantumDiam,https://quantum-diamond.jobs.personio.de/,personio,quantum-diamond,direct_employer,Global,global,Quantum Tech,70,80,40,
Raisin,https://boards.greenhouse.io/raisin,greenhouse,raisin,direct_employer,Global,global,Fintech,80,85,60,
Scalable Capital,https://careers.smartrecruiters.com/ScalableGmbH,smartrecruiters,ScalableGmbH,direct_employer,Global,global,Fintech,80,85,55,"SmartRecruiters - no API adapter, DOM path; FIX P0-20: smartrecruiters API adapter"
Sentry,https://jobs.ashbyhq.com/sentry,ashby,sentry,direct_employer,Global,global,Developer Tools,80,95,85,
simcorp,https://simcorp.wd3.myworkdayjobs.com/SimCorp_Jobs,workday,simcorp/SimCorp_Jobs,direct_employer,Global,global,Fintech/Software,75,80,55,FIX P0-20: workday API adapter
SmartRecruiters,https://www.smartrecruiterscareers.com/jobs,auto,,direct_employer,Global,global,HR Tech,75,90,65,
Sonio,https://sonio-ag.jobs.personio.com/,personio,sonio-ag,direct_employer,Global,global,HealthTech,70,85,55,verified: 10 jobs
SOTI,https://soti.wd3.myworkdayjobs.com/Careers/jobs,workday,soti/Careers,direct_employer,Global,global,Enterprise Software,70,85,50,"Workday - no API adapter, DOM path; FIX P0-20: workday API adapter"
Starship,https://starship.teamtailor.com/jobs,teamtailor,starship,direct_employer,Global,global,Robotics,75,90,45,verified: 4 jobs
Twilio,https://job-boards.greenhouse.io/twilio,greenhouse,twilio,direct_employer,Global,global,SaaS,85,90,80,
Typeform,https://job-boards.greenhouse.io/typeform,greenhouse,typeform,direct_employer,Global,global,SaaS,85,95,80,
Vercel,https://job-boards.greenhouse.io/vercel,greenhouse,vercel,direct_employer,Global,global,Developer Tools,85,95,95,
Wolt,https://boards.greenhouse.io/wolt,greenhouse,wolt,direct_employer,Global,global,Delivery,80,85,55,
Zalando,https://zalando.wd3.myworkdayjobs.com/ZalandoSiteWD,workday,zalando/ZalandoSiteWD,direct_employer,Global,global,E-Commerce,80,80,55,FIX P0-20: workday API adapter
Zendesk,https://zendesk.wd1.myworkdayjobs.com/zendesk,workday,zendesk/zendesk,direct_employer,Global,global,SaaS,80,85,65,FIX P0-20: workday API adapter
