name,careers_url,provider,board_slug,source_type,target_country,scope_policy,industry,sponsorship_history,english_friendly,remote_score,notes
MD,https://md.intervieweb.it/it/career,auto,,direct_employer,Italy,seed_url,Retail/Supermarket,5,35,10,Italy batch 2026-09-13; seed v2 2026-09-13: kept user URL edit
MetaQuotes,https://www.metaquotes.net/en/company/vacancies,auto,,direct_employer,Global,global,Fintech,75,85,60,
Michael Page Germany,https://www.michaelpage.de/jobs/compliance-analyst,auto,,recruiter,Germany,seed_url,Recruitment,70,80,35,
Michael Page Netherlands,https://www.michaelpage.nl/jobs/analyst,auto,,recruiter,Netherlands,seed_url,Recruitment,70,85,35,
Michael Page UK,https://www.michaelpage.co.uk/jobs/analyst,auto,,recruiter,United Kingdom,seed_url,Recruitment,70,85,35,
Miro,https://miro.com/careers/open-positions/,auto,,direct_employer,Global,global,SaaS,85,95,80,
Mollie,https://jobs.mollie.com/locations/amsterdam,auto,,direct_employer,Global,global,Fintech,80,90,65,
Morgan McKinley,https://www.morganmckinley.com/ie/jobseekers,auto,,recruiter,Global,global,Recruitment,70,80,35,
MSD Netherlands,https://jobs.msd.com/gb/en/search-results,auto,,direct_employer,Netherlands,job_location,Pharma,80,90,45,stripped stale ?keywords=analyst test filter (2026-09-12)
N26,https://n26.com/en-eu/careers,auto,,direct_employer,Global,global,Fintech,85,90,60,
NavVis,https://www.navvis.com/company/careers#positions,auto,,direct_employer,Global,global,3D Mapping,75,85,45,
Nexthink (Germany),https://nexthink.com/company/careers/jobs,auto,,direct_employer,Germany,job_location,Digital Workplace,75,85,60,
NH Hotel Group Italy,https://euamcareers.minorhotels.com/search/?createNewAlert=false&q=&optionsFacetsDD_country=&optionsFacetsDD_dept=&optionsFacetsDD_customfield3=&optionsFacetsDD_location=&optionsFacetsDD_customfield2=&optionsFacetsDD_customfield4=&optionsFacetsDD_city=&optionsFacetsDD_customfield1=,auto,,direct_employer,Italy,job_location,Hospitality,10,70,10,URL is generic minorhotels.com/search; job_location scope ensures only Italy-scoped jobs pass
Nigel Frank,https://www.nigelfrank.com/microsoft-jobs,auto,,recruiter,Global,global,Recruitment,70,85,35,
Notion,https://www.notion.com/careers,ashby,notion,direct_employer,Global,global,Productivity,80,95,85,
Nova Coop,https://novacoop.intervieweb.it/it/career,auto,,direct_employer,Italy,seed_url,Retail/Supermarket,5,30,10,Italy batch 2026-09-13; seed v2 2026-09-13: kept user URL edit
Ocado Technology,https://careers.ocadogroup.com/jobs,auto,,direct_employer,Global,global,Retail Tech,80,85,60,
Oniverse,https://careers.oniverse.it/en-US/home,auto,,direct_employer,Italy,seed_url,Retail,10,50,20,
Optiver,https://www.optiver.com/join-us/jobs/,auto,,direct_employer,Global,global,Fintech/Trading,80,85,55,
Organon,https://jobs.organon.com/us/en/search-results,auto,,direct_employer,Global,global,Pharma,75,80,50,
OVS,https://careers-ovsgroup.ovs.it/jobs.php?source=direct,auto,,direct_employer,Italy,seed_url,Retail,5,40,15,
Pam Panorama,https://lavoraconnoi.gruppopam.it/negozi/regioni/lazio,pam,region:Lazio,direct_employer,Italy,seed_url,Retail/Supermarket,20,60,60,Batch N: pam API adapter (25 Lazio jobs live 2026-09-12)
Pam Panorama,https://lavoraconnoi.gruppopam.it/sede,pam,sede,direct_employer,Italy,seed_url,Retail/Supermarket,20,60,60,Batch N: pam API adapter (2 HQ jobs live 2026-09-12)
Penny Italia,https://pennyitalia.intervieweb.it/it/career,auto,,direct_employer,Italy,seed_url,Retail/Supermarket,5,35,10,Italy batch 2026-09-13; seed v2 2026-09-13: IntervieWEB board (landing was empty)
Personio,https://www.personio.com/about-personio/careers/,auto,,direct_employer,Global,global,HR Tech,80,90,65,
Piazza Italia,https://www.piazzaitalia.it/it-it/work-with-us,auto,,direct_employer,Italy,seed_url,Retail/Fashion,5,35,10,Italy batch 2026-09-13
Picnic,https://jobs.picnic.app/en/jobs,auto,,direct_employer,Global,global,Food Tech,75,80,50,
Pipedrive,https://www.pipedrive.com/en/jobs/open-positions,auto,,direct_employer,Global,global,SaaS,80,90,70,
Pitch,https://pitch.com/jobs#positions,workable,pitch-software,direct_employer,Global,global,SaaS,80,90,85,
Planhat,https://www.planhat.com/careers#open-roles,ashby,Planhat,direct_employer,Global,global,SaaS,70,90,70,
Poste Italiane,https://carriere.posteitaliane.it/en/sites/CX_3001/jobs?mode=location,oracle,,direct_employer,Global,global,Logistics/Services,25,60,70,
Prada Group,https://jobs.pradagroup.com/search/?createNewAlert=false,auto,,direct_employer,Global,global,Fashion/Luxury,35,80,50,
Primark Italia,"https://careers.primark.com/en/search-jobs?acm=81158,8817920,36805,81645,8337600,53117,79935,37065,81644,37012,81636,82479,36845,80191,79747,8856320,79655&alrpm=ALL&ascf=[%7B%22key%22:%22ALL%22,%22value%22:%22%22%7D]",auto,,direct_employer,Italy,seed_url,Retail/Fashion,10,45,10,Italy batch 2026-09-13; seed v2 2026-09-13: kept user URL edit
Quinyx,https://careers.quinyx.com/jobs,auto,,direct_employer,Global,global,Workforce Tech,70,85,60,
reisetopia,https://reisetopia.de/jobs/,auto,,direct_employer,Global,global,Travel,70,85,75,
Reperio Human Capital,https://www.reperiohumancapital.com/,auto,,recruiter,Global,global,Recruitment,70,80,35,
Retool,https://retool.com/careers#open-positions,auto,,direct_employer,Global,global,Developer Tools,80,95,80,"Custom board, no public API (verified 2026-09-11)"
Revolut,https://www.revolut.com/careers/,auto,,direct_employer,Global,global,Fintech,85,90,65,
Robert Walters Germany,https://www.robertwalters.de/en/jobs.html,auto,,recruiter,Global,seed_url,Recruitment,70,80,35,
Robert Walters Ireland,https://www.robertwalters.ie/jobs.html,auto,,recruiter,Ireland,seed_url,Recruitment,70,80,35,
Robert Walters Netherlands,https://www.robertwalters.nl/vacatures.html?q=,auto,,recruiter,Netherlands,seed_url,Recruitment,70,85,35,
Rocco Forte Hotels,https://careers.roccofortehotels.com/jobs,auto,,direct_employer,Global,global,Hospitality,15,75,10,
Rossopomodoro,https://www.rossopomodoro.it/it/Lavora-con-noi/job,auto,,direct_employer,Italy,seed_url,Hospitality/Restaurants,5,35,10,Italy batch 2026-09-13 (browser-only: curl 403)
Rows,https://www.rowspace.ai/careers,ashby,Rowspace,direct_employer,Global,global,SaaS,75,90,80,
SAP,https://jobs.sap.com/search/,auto,,direct_employer,Global,global,Enterprise,80,80,55,
Scorewarrior,https://scorewarrior.com/careers,ashby,scorewarrior,direct_employer,Global,global,Gaming,75,85,70,
Shopify,https://www.shopify.com/careers,auto,,direct_employer,Global,global,E-Commerce,85,95,95,
Siemens,https://jobs.siemens.com/en_US/externaljobs/SearchJobs,auto,,direct_employer,Global,global,Engineering,80,75,50,
Sigmar Recruitment,https://www.sigmarrecruitment.com/job-search/,auto,,recruiter,Global,global,Recruitment,70,80,35,
Skyscanner,https://www.skyscanner.co.in/jobs/current-jobs,greenhouse,skyscanner,direct_employer,Global,global,Travel,80,85,60,
Spendesk,https://spendesk.jobs.personio.com,personio,spendesk,direct_employer,Global,global,Fintech,75,85,65,
Spotify,https://www.lifeatspotify.com/jobs,auto,,direct_employer,Global,global,Media,90,95,75,
Starhotels,https://www.starhotels.com/en/careers.html,auto,,direct_employer,Italy,seed_url,Hospitality,10,65,5,
Stellantis,https://careers.stellantis.com/job-search-results/,auto,,direct_employer,Global,global,Automotive/Manufacturing,45,70,55,
Stripe,https://stripe.com/jobs/search,auto,,direct_employer,Global,global,Fintech,90,95,75,
SumUp,https://www.sumup.com/careers/positions/,auto,,direct_employer,Global,global,Fintech,85,90,60,
Talentor Germany,https://talentor.com/jobs,auto,,recruiter,Germany,job_location,Recruitment,70,80,35,
Teamtailor,https://career.teamtailor.com/jobs,teamtailor,,direct_employer,Global,global,HR Tech,75,90,65,
Teddy Group,https://www.teddycareers.it/#/public-area/careers/ads-list/0,auto,,direct_employer,Italy,seed_url,Retail/Fashion,5,40,10,Italy batch 2026-09-13 (Terranova etc; JS app); seed v2 2026-09-13: official PEOPLENET board (replaces Indeed)
Tigotà,https://lavoro.gottardospa.it/jobs.php,auto,,direct_employer,Italy,seed_url,Retail/Drugstore,5,35,10,Italy batch 2026-09-13 (200+ store jobs); seed v2 2026-09-13: kept user URL edit
TIM,https://timretailrecruiting.gruppotim.it/,auto,,direct_employer,Global,global,Telecom,30,70,65,
TomTom,https://www.tomtom.com/careers/joboverview/,auto,,direct_employer,Global,global,Tech/Data,80,95,65,
Trivago,https://careers.trivago.com/jobs/?job_families=0&experience_levels=0,auto,,direct_employer,Global,global,Travel/Data,80,95,60,
Understanding Recruitment,https://www.understandingrecruitment.com/job-search/,auto,,recruiter,Global,global,Recruitment,70,85,35,Batch M: seed pointed at homepage (0 jobs); jobs board verified live 2026-09-12
Undutchables,https://undutchables.nl/vacancies,auto,,recruiter,Global,global,Recruitment,70,85,45,
Unicoop Firenze,https://www.coopfirenze.it/lavora-con-noi/consulta-le-posizioni-aperte,auto,,direct_employer,Italy,seed_url,Retail/Supermarket,5,30,10,Italy batch 2026-09-13
UniCredit,https://careers.unicredit.eu/,auto,,direct_employer,Global,global,Banking/Finance,30,70,60,
Unieuro Negozi,https://unieurospa.com/people/lavora-con-noi/opportunita-in-negozio/,auto,,direct_employer,Italy,seed_url,Retail/Electronics,5,35,10,Italy batch 2026-09-13 (85 assunzioni)
Unieuro Sede,https://unieurospa.com/people/lavora-con-noi/opportunita-in-sede/,auto,,direct_employer,Italy,seed_url,Retail/HQ,10,50,30,Italy batch 2026-09-13
Veriff,https://www.veriff.com/careers/open-positions,auto,,direct_employer,Global,global,SaaS,75,90,65,
Voi Technology,https://careers.voi.com/jobs,auto,,direct_employer,Global,global,Mobility,75,85,50,
Wise,https://wise.jobs/jobs,auto,,direct_employer,Global,global,Fintech,85,95,85,
Yamamay,https://corporate.yamamay.com/it/carriere/lavora-con-noi,auto,,direct_employer,Italy,seed_url,Retail/Fashion,5,40,10,Italy batch 2026-09-13
