name,country,ats_type,careers_url,ats_board_token,industry,sponsorship_history,english_friendly,remote_score
Lemon Markets,Netherlands,ashby,https://jobs.ashbyhq.com/lemon-markets,lemon-markets,Fintech,80,90,70
Mango IT Recruitment,Netherlands,recruitee,https://mango-it.recruitee.com,mango-it,HR Tech,70,90,80
Organon,Netherlands,official_careers,https://jobs.organon.com/us/en/search-results,,Healthcare,80,85,40
MSD Netherlands,Netherlands,official_careers,https://jobs.msd.com/gb/en/search-results?keywords=analyst,,Pharma,80,90,40
Exact,Netherlands,official_careers,https://www.exact.com/nl/werken-bij/vacatures,,ERP,75,80,30
Ohpen,Netherlands,personio,https://ohpen.jobs.personio.com/?language=en,ohpen,Banking SaaS,75,85,50
# ── Other European (new from xlsx) ──────────────────────────────────────────,,,,,,,,
Scorewarrior,Cyprus,official_careers,https://scorewarrior.com/careers,,Gaming,75,85,70
MetaQuotes,Cyprus,official_careers,https://www.metaquotes.net/en/company/vacancies,,Fintech,75,85,55
Exness,Cyprus,official_careers,https://www.exness-careers.com/jobs/,,Fintech,75,85,60
# ── Agences / Recruitment agencies (info-only,scan via their portals) ──,,,,,,,
Hays Germany,Germany,official_careers,https://www.hays.de/jobsuche/stellenangebote-jobs/p/1?q=&e=false&pt=false&ij=true,,Recruitment,70,75,30
Robert Walters Germany,Germany,official_careers,https://www.robertwalters.de/en/jobs.html,,Recruitment,70,80,30
Michael Page Germany,Germany,official_careers,https://www.michaelpage.de/jobs/compliance-analyst,,Recruitment,70,80,30
Harnham Germany,Germany,official_careers,https://www.harnham.com/job-search/,,Recruitment,70,80,40
Talentor Germany,Germany,official_careers,https://talentor.com/jobs,,Recruitment,70,80,30
Avomind,Germany,workable,https://apply.workable.com/avomind/,avomind,Recruitment,70,80,30
Kelly Services Germany,Germany,official_careers,https://careers.kellyocg.com/search,,Recruitment,70,75,25
DevsData,Germany,official_careers,https://devsdata.com/careers/,,Recruitment,70,80,30
Undutchables,Netherlands,official_careers,https://undutchables.nl/vacancies,,Recruitment,70,85,40
Huxley Netherlands,Netherlands,official_careers,https://www.huxley.com/en-nl/job-search/?keywords=analyst&country=Netherlands&searchRadius=50km,,Recruitment,70,85,30
Michael Page Netherlands,Netherlands,official_careers,https://www.michaelpage.nl/jobs/analyst,,Recruitment,70,85,30
Robert Walters Netherlands,Netherlands,official_careers,https://www.robertwalters.nl/vacatures.html?q=analyst,,Recruitment,70,85,30
Morgan McKinley,Ireland,official_careers,https://www.morganmckinley.com/ie/jobseekers,,Recruitment,70,80,30
Sigmar Recruitment,Ireland,official_careers,https://www.sigmarrecruitment.com/job-search/,,Recruitment,70,80,30
Reperio Human Capital,Ireland,official_careers,https://www.reperiohumancapital.com/,,Recruitment,70,80,30
Robert Walters Ireland,Ireland,official_careers,https://www.robertwalters.ie/jobs.html,,Recruitment,70,80,30
Understanding Recruitment,United Kingdom,official_careers,https://www.understandingrecruitment.com/,,Recruitment,70,85,30
La Fosse,United Kingdom,official_careers,https://www.lafosse.com/,,Recruitment,70,85,35
Michael Page UK,United Kingdom,official_careers,https://www.michaelpage.co.uk/,,Recruitment,70,85,30
Nigel Frank,United Kingdom,official_careers,https://www.nigelfrank.com/,,Recruitment,70,85,30
# ── Italy (Entry-level to Bachelor suitable jobs) ─────────────────────────────,,,,,,,,
Esselunga,Italy,official_careers,https://esselungajob.it/go/Risultati_Ricerca/4414201/,,Retail/Supermarket,15,60,65
Coop Italia,Italy,official_careers,https://coopcareers.org/join-our-team,,Retail/Supermarket,15,60,70
Conad,Italy,official_careers,https://chisiamo.conad.it/lavora-con-noi/posizioni-aperte,,Retail/Supermarket,15,60,65
Lidl Italia,Italy,official_careers,https://lavoro.lidl.it/annunci-di-lavoro,,Retail/Supermarket,15,60,65
Eurospin,Italy,official_careers,https://www.eurospin.it/posizioni-aperte-in-sede/,,Retail/Supermarket,15,55,60
Pam Panorama,Italy,official_careers,https://lavoraconnoi.gruppopam.it/negozi/regioni/lazio,,Retail/Supermarket,15,60,60
Poste Italiane,Italy,official_careers,https://carriere.posteitaliane.it/en/sites/CX_3001/jobs?mode=location,,Logistics/Services,20,60,70
FS Italiane / Trenitalia,Italy,official_careers,https://fscareers.gruppofs.it/jobs.php,,Transport/Logistics,20,60,55
Barilla Group,Italy,official_careers,https://jobs.barillagroup.com/search/?createNewAlert=false&q=&locationsearch=&optionsFacetsDD_customfield3=&optionsFacetsDD_customfield2=,,Food/Manufacturing,30,75,55
Ferrero,Italy,official_careers,https://www.ferrerocareers.com/int/en/jobs,,Food/Manufacturing,25,70,50
Lavazza,Italy,official_careers,https://jobs.lavazza.com/search/?createNewAlert=false&q=&locationsearch=&optionsFacetsDD_country=&optionsFacetsDD_department=&optionsFacetsDD_title=,,Food/Manufacturing,25,70,55
Prysmian Group,Italy,workday,https://prysmiangroup.wd3.myworkdayjobs.com/Careers,prysmian,Manufacturing,35,70,60
Eni,Italy,official_careers,https://jobs.eni.com/en/sites/CX_1004/jobs?lastSelectedFacet=LOCATIONS&mode=location&selectedLocationsFacet=300000000468816,,Energy,30,70,60
Enel,Italy,official_careers,https://jobs.enel.com/en_US/careers/JobOpeningsItaly,,Energy/Utilities,40,75,65
Stellantis,Italy,official_careers,https://careers.stellantis.com/job-search-results/?keyword=assistant,,Automotive/Manufacturing,40,70,55
Intesa Sanpaolo,Italy,official_careers,https://jobs.intesasanpaolo.com/search/?createNewAlert=false&q=&locationsearch=&optionsFacetsDD_country=&optionsFacetsDD_department=&optionsFacetsDD_customfield1=Students+%26+Graduates,,Banking/Finance,20,65,60
UniCredit,Italy,official_careers,https://careers.unicredit.eu/,,Banking/Finance,25,70,60
TIM,Italy,official_careers,https://timretailrecruiting.gruppotim.it/,,Telecom,25,70,65
TIM Intership,Italy,official_careers,https://timrecruiting.gruppotim.it/pubblicazioni,,Telecom,25,70,65
Generali,Italy,official_careers,https://gogenerali.com/home/jobs,,Insurance,20,70,60
Leonardo,Italy,workday,https://leonardocompany.wd3.myworkdayjobs.com/LeonardoCareerSite,leonardo,Aerospace/Defense,20,65,50
Luxottica,Italy,official_careers,https://careers.essilorluxottica.com/search/?createNewAlert=false&q=&optionsFacetsDD_country=&optionsFacetsDD_city=&optionsFacetsDD_customfield1=&optionsFacetsDD_customfield2=&optionsFacetsDD_customfield3=&optionsFacetsDD_customfield4=,,Fashion/Retail,35,75,55
Prada Group,Italy,official_careers,https://jobs.pradagroup.com/search/?createNewAlert=false,,Fashion/Luxury,30,80,50
Angelini Pharma,Italy,official_careers,https://careers.angelinipharma.com/search/?createNewAlert=false&q=&optionsFacetsDD_customfield2=,,Pharma/Healthcare,25,70,50
SNAM,Italy,official_careers,https://wd103.myworkdaysite.com/en-US/recruiting/snam/Carriere,,Energy/Infrastructure,20,65,50
Ikea Italia,Italy,official_careers,https://jobs.ikea.com/it/lavori-di-ricerca?acm=ALL&alrpm=3175395&ascf=[%7B%22key%22:%22ALL%22,%22value%22:%22%22%7D],,Retail/Furniture,20,70,70
McDonald's Italia,Italy,official_careers,https://www.mcdonalds.it/lavora-con-noi/posizioni-aperte,,Hospitality/Fast Food,15,60,60
Amazon Italia,Italy,official_careers,https://www.amazon.jobs/content/it/teams/fulfillment-and-operations/italy#:R6sj6H1:,,Logistics/E-commerce,25,75,75
Decathlon Italia Retail,Italy,official_careers,https://lavoraconnoi.decathlon-careers.it/it/annonces?brands=1557,,Retail/Sports,20,70,65
Decathlon Italia Value Chain,Italy,official_careers,https://lavoraconnoi.decathlon-careers.it/it/annonces?brands=1615,,Retail/Sports,20,70,65
